FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
203319,Needle Mountains,Range,La Plata,37.6216659,-107.6225606,4286
203328,Montrose,Populated Place,Montrose,38.4783198,-107.8761738,1770
203339,Log Hill Mesa,Summit,Ouray,38.210545,-107.9045083,2735
203341,Cimarron Ridge,Ridge,Ouray,38.2333243,-107.5839482,3258
203385,Sawatch Range,Range,Chaffee,38.821106,-106.3900249,3663
203419,Center,Populated Place,Saguache,37.7530563,-106.1086379,2330
203420,South Fork,Populated Place,Rio Grande,37.6700041,-106.6397638,2502
203510,San Juan Mountains,Range,Mineral,37.4833412,-106.8172645,3250
203527,Elevenmile Canyon Reservoir,Reservoir,Park,38.9044366,-105.47583,2611
203533,Black Forest,Forest,Teller,38.8488782,-105.1116485,3274
203585,Moffat,Populated Place,Saguache,37.9988882,-105.9100156,2306
203592,Promontory Divide,Ridge,Custer,37.934725,-105.3333352,2623
203624,Alamosa,Populated Place,Alamosa,37.4694491,-105.8700215,2299
203627,Blanca,Populated Place,Costilla,37.4380633,-105.515846,2364
203635,Cuchara,Populated Place,Huerfano,37.3791796,-105.100281,2581
203638,Sanford,Populated Place,Conejos,37.2583426,-105.9047442,2318
203659,Chama,Populated Place,Costilla,37.1619611,-105.3783446,2493
203671,Ramah,Populated Place,El Paso,39.1216554,-104.165794,1865
203678,Papeton,Populated Place,El Paso,38.8763821,-104.8019197,1885
203683,Security,Populated Place,El Paso,38.7583288,-104.7430278,1755
203720,Poitrey Arroyo Hills,Range,Las Animas,37.6564013,-104.1313547,1691
203757,Genoa,Populated Place,Lincoln,39.2783208,-103.5002239,1708
203804,Ordway,Populated Place,Crowley,38.2180608,-103.7560606,1314
203821,Bristol,Populated Place,Prowers,38.1222316,-102.3115786,1085
203834,John Martin Reservoir,Reservoir,Bent,38.0666741,-102.9371452,1174
203835,Lamar,Populated Place,Prowers,38.0872307,-102.6207496,1103
203843,Holly,Populated Place,Prowers,38.0522337,-102.122685,1034
203859,Two Buttes Reservoir,Reservoir,Baca,37.636123,-102.5385259,1290
203868,Springfield,Populated Place,Baca,37.4083486,-102.6143616,1329
203869,Vilas,Populated Place,Baca,37.3736272,-102.446301,1266
203870,Kim,Populated Place,Las Animas,37.2466855,-103.3521611,1735
203883,Comanche National Grassland,Forest,Baca,36.997242,-102.7004748,1294
203886,Mount Columbia,Summit,Chaffee,38.9038837,-106.2975225,4285
203891,Superior,Populated Place,Boulder,39.9527634,-105.1685977,1675
203904,Maysville,Populated Place,Chaffee,38.5386086,-106.1902979,2507
203942,Slick Rock,Locale,San Miguel,38.04277,-108.8887148,1690
203948,Tabeguache Peak,Summit,Chaffee,38.625275,-106.2508552,4260
203951,Crestone Needle,Summit,Saguache,37.9647221,-105.5766752,4318
204648,Peetz,Populated Place,Logan,40.9627642,-103.1124241,1351
204649,Hereford,Populated Place,Weld,40.9749835,-104.3057869,1609
204654,Walden,Populated Place,Jackson,40.7316433,-106.2836373,2468
204655,Kremmling,Populated Place,Grand,40.0588744,-106.3889199,2229
204656,Rio Blanco,Populated Place,Rio Blanco,39.7377544,-107.9453508,2215
204657,Silt,Populated Place,Garfield,39.5485917,-107.6561707,1663
204658,New Castle,Populated Place,Garfield,39.5727585,-107.5364443,1706
204659,Glenwood Springs,Populated Place,Garfield,39.5505376,-107.3247762,1756
204660,Fruita,Populated Place,Mesa,39.1588696,-108.7289882,1376
204661,Molina,Populated Place,Mesa,39.1891459,-108.0603513,1710
204662,Grand Junction,Populated Place,Mesa,39.0638705,-108.5506486,1400
204663,Collbran,Populated Place,Mesa,39.2405343,-107.9611808,1824
204664,Eagle,Populated Place,Eagle,39.6552635,-106.8286507,2012
204665,Wolcott,Populated Place,Eagle,39.7027642,-106.6786462,2130
204666,Edwards,Populated Place,Eagle,39.644986,-106.5942,2201
204667,Avon,Populated Place,Eagle,39.6313749,-106.5222541,2265
204669,Gilman,Populated Place,Eagle,39.5327639,-106.3939176,2728
204670,Rico,Populated Place,Dolores,37.6927729,-108.0303502,2690
204671,Poudre Park,Populated Place,Larimer,40.6860926,-105.3047078,1730
204673,Fort Collins,Populated Place,Larimer,40.5852602,-105.084423,1525
204674,Estes Park,Populated Place,Larimer,40.3772059,-105.5216651,2300
204676,Masonville,Populated Place,Larimer,40.4874831,-105.2108177,1642
204677,Jamestown,Populated Place,Boulder,40.1155412,-105.3886051,2111
204678,Sugarloaf,Populated Place,Boulder,40.0169306,-105.4072169,2379
204679,Niwot,Populated Place,Boulder,40.103874,-105.1708193,1553
204680,Redmesa,Populated Place,La Plata,37.0944441,-108.1703542,1996
204681,Breckenridge,Populated Place,Summit,39.4816537,-106.0383518,2965
204683,Leadville,Populated Place,Lake,39.2508229,-106.2925238,3097
204684,Climax (historical),Populated Place,Lake,39.3688772,-106.1836335,3462
204685,Mount Democrat,Summit,Park,39.3397109,-106.1400209,4310
204686,Aspen,Populated Place,Pitkin,39.1910983,-106.8175387,2405
204688,Nunn,Populated Place,Weld,40.7035917,-104.7808024,1582
204690,Keota,Populated Place,Weld,40.7027642,-104.0752263,1513
204691,Eaton,Populated Place,Weld,40.5302582,-104.7113542,1475
204692,Galeton,Populated Place,Weld,40.5208139,-104.5857927,1454
204693,Windsor,Populated Place,Weld,40.4774818,-104.9013617,1462
204695,Kersey,Populated Place,Weld,40.387481,-104.5616256,1407
204696,Gilcrest,Populated Place,Weld,40.2819266,-104.7777472,1449
204697,Roggen,Populated Place,Weld,40.1674816,-104.3721765,1436
204698,Wiggins,Populated Place,Morgan,40.2305363,-104.0727278,1388
204699,Keenesburg,Populated Place,Weld,40.1083158,-104.5199585,1510
204701,Fraser,Populated Place,Grand,39.9449868,-105.8172316,2615
204702,Nederland,Populated Place,Boulder,39.9613759,-105.5108312,2508
204703,Westminster,Populated Place,Adams,39.8366528,-105.0372046,1641
204704,Broomfield,Populated Place,Broomfield,39.9205411,-105.0866504,1644
204709,Arvada,Populated Place,Jefferson,39.8027644,-105.0874842,1629
204710,Idaho Springs,Populated Place,Clear Creek,39.7424881,-105.5136082,2294
204712,Evergreen,Populated Place,Jefferson,39.6333213,-105.3172146,2150
204713,Idledale,Populated Place,Jefferson,39.6660989,-105.2441566,1969
204714,Sheridan,Populated Place,Arapahoe,39.6469319,-105.025261,1623
204715,Englewood,Populated Place,Arapahoe,39.6477653,-104.9877597,1637
204716,Mount Evans,Summit,Clear Creek,39.588228,-105.643716,4343
204717,Conifer,Populated Place,Jefferson,39.5210995,-105.3052708,2523
204718,Fleming,Populated Place,Logan,40.6799914,-102.8393627,1293
204719,Haxtun,Populated Place,Phillips,40.6411022,-102.6268584,1228
204721,Weldona,Populated Place,Morgan,40.346094,-103.9691172,1326
204722,Fort Morgan,Populated Place,Morgan,40.2502582,-103.799951,1319
204723,Brush,Populated Place,Morgan,40.2588686,-103.6238367,1286
204725,Jefferson,Populated Place,Park,39.3772101,-105.8005662,2896
204726,Grant,Populated Place,Park,39.45971,-105.6616715,2623
204727,Bailey,Populated Place,Park,39.4055449,-105.4733328,2359
